region,category,parameter,mode,powertrain,year,unit,value
Norway,Historical,EV stock,Cars,FCEV,2014,,4
Norway,Historical,EV stock,Cars,PHEV,2014,,2336
Norway,Historical,EV stock,Cars,BEV,2015,,58882.4609375
Norway,Historical,EV stock,Cars,FCEV,2015,,13
Norway,Historical,EV stock,Cars,PHEV,2015,,10283
Norway,Historical,EV stock,Cars,BEV,2016,,83104.4609375
Norway,Historical,EV stock,Cars,FCEV,2016,,40
Norway,Historical,EV stock,Cars,PHEV,2016,,30949
Norway,Historical,EV stock,Cars,BEV,2017,,116129.4609375
Norway,Historical,EV stock,Cars,FCEV,2017,,70
Norway,Historical,EV stock,Cars,PHEV,2017,,60181
Norway,Historical,EV stock,Cars,BEV,2018,,162272.46875
Norway,Historical,EV stock,Cars,FCEV,2018,,115
Norway,Historical,EV stock,Cars,PHEV,2018,,86727
Norway,Historical,EV stock,Cars,BEV,2019,,222617.46875
Norway,Historical,EV stock,Cars,FCEV,2019,,144
Norway,Historical,EV stock,Cars,PHEV,2019,,106022
Norway,Historical,EV stock,Cars,BEV,2020,,339105
Norway,Historical,EV stock,Cars,FCEV,2020,,159
Norway,Historical,EV stock,Cars,PHEV,2020,,145569
Other Europe,Historical,EV stock,Cars,BEV,2010,,166
